hidden_layers,activation_function,epochs,learning_rate,batch_size,accuracy
[4],Sigmoid,10,0.01,128,0.8341463414634146
[4],Sigmoid,10,0.01,256,0.7951219512195122
[4],Sigmoid,10,0.01,512,0.8146341463414634
[4],Sigmoid,10,0.001,16,0.8195121951219512
[4],Sigmoid,10,0.001,32,0.8097560975609757
[4],Sigmoid,10,0.001,64,0.8097560975609757
[4],Sigmoid,10,0.001,128,0.4878048780487805
[4],Sigmoid,10,0.001,256,0.6487804878048781
[4],Sigmoid,10,0.001,512,0.5365853658536586
[4],Sigmoid,10,0.0001,16,0.4878048780487805
[4],Sigmoid,10,0.0001,32,0.5121951219512195
[4],Sigmoid,10,0.0001,64,0.5121951219512195
[4],Sigmoid,10,0.0001,128,0.4878048780487805
[4],Sigmoid,10,0.0001,256,0.5121951219512195
[4],Sigmoid,10,0.0001,512,0.4878048780487805
[4],Sigmoid,25,10.0,16,0.4878048780487805
[4],Sigmoid,25,10.0,32,0.6634146341463415
[4],Sigmoid,25,10.0,64,0.5756097560975609
[4],Sigmoid,25,10.0,128,0.7902439024390244
[4],Sigmoid,25,10.0,256,0.7560975609756098
[4],Sigmoid,25,10.0,512,0.7951219512195122
[4],Sigmoid,25,1.0,16,0.7463414634146341
[4],Sigmoid,25,1.0,32,0.8682926829268293
[4],Sigmoid,25,1.0,64,0.8829268292682927
[4],Sigmoid,25,1.0,128,0.8634146341463415
[4],Sigmoid,25,1.0,256,0.8780487804878049
[4],Sigmoid,25,1.0,512,0.8536585365853658
[4],Sigmoid,25,0.1,16,0.9121951219512195
[4],Sigmoid,25,0.1,32,0.9121951219512195
[4],Sigmoid,25,0.1,64,0.9414634146341463
[4],Sigmoid,25,0.1,128,0.8780487804878049
[4],Sigmoid,25,0.1,256,0.8829268292682927
[4],Sigmoid,25,0.1,512,0.8780487804878049
[4],Sigmoid,25,0.01,16,0.9121951219512195
[4],Sigmoid,25,0.01,32,0.8634146341463415
[4],Sigmoid,25,0.01,64,0.848780487804878
